Date,Open,High,Low,Close,Volume,Change(%)
2017-10-11,76.36,76.46,75.95,76.42,15388682.0,+0.13(+0.17%)
2017-10-10,76.33,76.63,76.14,76.29,13943397.0,+0.00(+0.00%)
2017-10-09,75.97,76.55,75.86,76.29,11386502.0,+0.29(+0.38%)
2017-10-06,75.67,76.03,75.54,76.0,13959814.0,+0.03(+0.04%)
2017-10-05,75.22,76.12,74.97,75.97,21194781.0,+1.28(+1.71%)
2017-10-04,74.09,74.72,73.71,74.69,13317581.0,+0.43(+0.58%)
2017-10-03,74.67,74.88,74.19,74.26,12190303.0,-0.35(-0.47%)
2017-10-02,74.71,75.0,74.29,74.61,15303048.0,+0.12(+0.16%)
2017-09-29,73.94,74.54,73.88,74.49,17079114.0,+0.62(+0.84%)
2017-09-28,73.54,73.97,73.31,73.87,10883787.0,+0.02(+0.03%)
2017-09-27,73.55,74.17,73.17,73.85,19564043.0,+0.59(+0.81%)
2017-09-26,73.67,73.81,72.99,73.26,18016663.0,+0.00(+0.00%)
2017-09-25,74.09,74.24,72.92,73.26,24148854.0,-1.15(-1.55%)
2017-09-22,73.99,74.51,73.85,74.41,14111365.0,+0.20(+0.27%)
2017-09-21,75.11,75.24,74.11,74.21,19185978.0,-0.73(-0.97%)
2017-09-20,75.35,75.52,74.31,74.94,21587325.0,-0.50(-0.66%)
2017-09-19,75.21,75.71,75.01,75.44,16093069.0,+0.28(+0.37%)
2017-09-18,75.23,75.97,75.04,75.16,23305919.0,-0.15(-0.20%)
2017-09-15,74.83,75.39,74.07,75.31,38578441.0,+0.54(+0.72%)
2017-09-14,75.0,75.49,74.52,74.77,15728711.0,-0.44(-0.59%)
2017-09-13,74.93,75.23,74.55,75.21,13380707.0,+0.53(+0.71%)
2017-09-12,74.76,75.24,74.37,74.68,14393091.0,-0.08(-0.11%)
2017-09-11,74.31,74.94,74.31,74.76,17909968.0,+0.78(+1.05%)
2017-09-08,74.33,74.44,73.84,73.98,14703816.0,-0.36(-0.48%)
2017-09-07,73.68,74.6,73.6,74.34,17470205.0,+0.94(+1.28%)
2017-09-06,73.74,74.04,73.35,73.4,16535765.0,-0.21(-0.29%)
2017-09-05,73.34,73.89,72.98,73.61,21556031.0,-0.33(-0.45%)
2017-09-01,74.71,74.74,73.64,73.94,21736161.0,-0.83(-1.11%)
2017-08-31,74.03,74.96,73.8,74.77,27651643.0,+0.76(+1.03%)
2017-08-30,73.01,74.21,72.83,74.01,16894553.0,+0.96(+1.31%)
2017-08-29,72.25,73.16,72.05,73.05,11478207.0,+0.22(+0.30%)
2017-08-28,73.06,73.09,72.55,72.83,14568259.0,+0.01(+0.01%)
2017-08-25,72.86,73.35,72.48,72.82,12794301.0,+0.13(+0.18%)
2017-08-24,72.74,72.86,72.07,72.69,17097682.0,-0.03(-0.04%)
2017-08-23,72.96,73.15,72.53,72.72,13765337.0,-0.44(-0.60%)
2017-08-22,72.35,73.24,72.35,73.16,14343048.0,+1.01(+1.40%)
2017-08-21,72.47,72.48,71.7,72.15,17734292.0,-0.34(-0.47%)
2017-08-18,72.27,72.84,71.93,72.49,18761491.0,+0.09(+0.12%)
2017-08-17,73.58,73.87,72.4,72.4,22976797.0,-1.25(-1.70%)
2017-08-16,73.34,74.1,73.17,73.65,18150045.0,+0.43(+0.59%)
2017-08-15,73.59,73.59,73.04,73.22,19180952.0,-0.37(-0.50%)
2017-08-14,73.06,73.72,72.95,73.59,20093562.0,+1.09(+1.50%)
2017-08-11,71.61,72.7,71.28,72.5,21443675.0,+1.09(+1.53%)
2017-08-10,71.9,72.19,71.35,71.41,24730886.0,-1.06(-1.46%)
2017-08-09,72.25,72.51,72.05,72.47,22210707.0,-0.32(-0.44%)
2017-08-08,72.09,73.12,71.75,72.79,22041193.0,+0.39(+0.54%)
2017-08-07,72.8,72.9,72.26,72.4,18705560.0,-0.28(-0.39%)
2017-08-03,72.19,72.44,71.85,72.15,18213336.0,-0.11(-0.15%)
2017-08-02,72.55,72.56,71.44,72.26,26496528.0,-0.32(-0.44%)
2017-08-01,73.1,73.42,72.49,72.58,20817467.0,-0.12(-0.17%)
2017-07-31,73.3,73.44,72.41,72.7,23598494.0,-0.34(-0.47%)
2017-07-28,72.67,73.31,72.54,73.04,18306680.0,-0.12(-0.16%)
2017-07-27,73.76,74.42,72.32,73.16,36843645.0,-0.89(-1.20%)
2017-07-26,74.34,74.38,73.81,74.05,16247473.0,-0.14(-0.19%)
2017-07-24,73.53,73.75,73.13,73.6,21393554.0,-0.19(-0.26%)
2017-07-21,73.45,74.29,73.17,73.79,46717082.0,-0.43(-0.58%)
2017-07-19,73.5,74.04,73.48,73.86,22381389.0,+0.56(+0.76%)
2017-07-18,73.09,73.39,72.66,73.3,26432512.0,-0.05(-0.07%)
2017-07-17,72.8,73.45,72.72,73.35,21802033.0,+0.57(+0.78%)
2017-07-14,72.24,73.27,71.96,72.78,25868086.0,+1.01(+1.41%)
2017-07-13,71.5,72.04,71.31,71.77,20269536.0,+0.62(+0.87%)
2017-07-11,70.0,70.68,69.75,69.99,17459622.0,+0.01(+0.01%)
2017-07-10,69.46,70.25,69.2,69.98,15013363.0,+0.52(+0.75%)
2017-07-07,68.7,69.84,68.7,69.46,16878317.0,+0.89(+1.30%)
2017-07-06,68.27,68.78,68.12,68.57,21116407.0,-0.51(-0.74%)
2017-07-05,68.25,69.44,68.22,69.08,21175857.0,+0.91(+1.33%)
